"TIME","Pout=(Vout*Iout)"
0.0001338233008,21.6677
0.0001338720964,21.6942
0.000133894804,21.7065
0.0001339261292,21.7236
0.0001339458323,21.7343
0.000133953843,21.7387
0.0001339560977,21.7399
0.000133958529,21.7412
0.0001339731696,21.7492
0.0001339790617,21.7524
0.0001340630967,21.798
0.0001341708934,21.856
0.0001344832345,22.0214
0.0001349158681,22.2435
0.0001355427995,22.5509
0.0001362124886,22.8601
0.0001376947448,23.4732
0.0001377451164,23.4923
0.0001377546721,23.4959
0.0001377946038,23.5109
0.0001378130477,23.5178
0.0001378745608,23.5408
0.0001378990113,23.5499
0.0001379145177,23.5556
0.0001379407049,23.5653
0.0001379414439,23.5656
0.0001379431202,23.5662
0.0001379463863,23.5674
0.000137959286,23.5722
0.0001382070288,23.6641
0.0001388965589,23.9247
0.0001400367825,24.3709
0.0001414904357,24.9666
0.000143807088,25.9763
0.0001438233009,25.9836
0.000143872086,26.0057
0.0001438947908,26.016
0.0001439259943,26.0301
0.0001439457809,26.0391
0.0001439535941,26.0426
0.0001439557381,26.0436
0.0001439580324,26.0446
0.0001439699428,26.05
0.0001439783515,26.0538
0.0001440339138,26.0789
0.0001441392514,26.126
0.0001444747489,26.2724
0.0001449163433,26.4562
0.0001455452018,26.7009
0.0001461621413,26.9211
0.0001473960205,27.3029
0.00014769501,27.3835
0.0001477426958,27.396
0.0001477552249,27.3992
0.0001478037586,27.4117
0.0001478135752,27.4142
0.0001478756714,27.43
0.0001478943669,27.4347
0.0001479053872,27.4375
0.0001479353697,27.445
0.0001479413392,27.4465
0.000147941378,27.4465
0.0001479417369,27.4466
0.0001479448404,27.4474
0.0001479487628,27.4483
0.0001479817109,27.4566
0.0001484490608,27.5749
0.0001495220259,27.858
0.0001503601829,28.0899
0.0001520364969,28.5811
0.000153807088,29.1386
0.0001538233008,29.1439
0.0001538720866,29.1598
0.0001538947923,29.1672
0.0001539260063,29.1774
0.0001539457499,29.1839
0.0001539538957,29.1865
0.0001539561243,29.1873
0.0001539584979,29.1881
0.0001539726352,29.1927
0.0001539790393,29.1948
0.0001540409716,29.2149
0.0001541451549,29.2483
0.0001543054171,29.2985
0.0001546783695,29.4098
0.0001550523681,29.5136
0.0001559035724,29.7211
0.0001569047868,29.9142
0.0001577215656,30.0312
0.0001577506022,30.0346
0.000157760841,30.0359
0.000157811555,30.0418
0.0001578300989,30.044
0.0001578967352,30.0515
0.0001579091487,30.0529
0.0001579344799,30.0557
0.0001579409068,30.0564
0.0001579413651,30.0564
0.000157941399,30.0564
0.0001579417346,30.0565
0.0001579450313,30.0568
0.0001579498133,30.0574
0.0001580136797,30.0644
0.0001587237459,30.1463
0.000159719644,30.2732
0.0001615623991,30.5444
0.0001638070879,30.9358
0.0001638233007,30.9389
0.0001638720862,30.9481
0.0001638947899,30.9525
0.0001639259788,30.9584
0.000163945737,30.9622
0.0001639538673,30.9637
0.0001639560175,30.9641
0.0001639583183,30.9646
0.0001639707771,30.9669
0.0001639826916,30.9692
0.000164030882,30.9783
0.000164135533,30.9976
0.0001644467869,31.0512
0.0001648521358,31.1129
0.0001653987869,31.1814
0.0001659206521,31.2312
0.0001669643824,31.2858
0.0001676982668,31.2886
0.0001677348384,31.2879
0.0001677526664,31.2876
0.0001677796355,31.2871
0.0001678125267,31.2864
0.0001678503638,31.2855
0.0001678944061,31.2844
0.000167905291,31.2841
0.0001679348226,31.2832
0.0001679414319,31.2831
0.0001679426269,31.283
0.0001679465318,31.2829
0.0001679621872,31.2825
0.0001683601204,31.2724
0.0001692920921,31.2589
0.0001704971891,31.2621
0.0001717692411,31.2901
0.000173807088,31.3859
0.0001738233008,31.3869
0.0001738720867,31.39
0.0001738947937,31.3914
0.0001739260071,31.3934
0.0001739457454,31.3947
0.0001739539078,31.3952
0.0001739561084,31.3953
0.000173958399,31.3955
0.0001739697317,31.3962
0.0001739814985,31.397
0.0001740264714,31.3998
0.0001741301562,31.4058
0.0001744509954,31.4207
0.0001748533941,31.4314
0.0001754017299,31.4317
0.0001759480942,31.416
0.0001770408229,31.3371
0.000177705577,31.2587
0.0001777496112,31.2527
0.0001777590671,31.2514
0.0001778098704,31.2443
0.0001778217554,31.2426
0.0001778920956,31.2326
0.0001779017921,31.2312
0.0001779255682,31.2277
0.0001779413175,31.2254
0.0001779417272,31.2254
0.000177944774,31.2249
0.0001779485511,31.2244
0.0001779772303,31.2202
0.0001786003017,31.1329
0.000179327728,31.0404
0.0001804320414,30.9188
0.0001815540638,30.8182
0.000183807088,30.6837
0.0001838233008,30.683
0.000183872087,30.6811
0.0001838947947,30.6802
0.0001839260074,30.679
0.0001839457763,30.6783
0.0001839538691,30.678
0.0001839560822,30.6779
0.0001839583706,30.6778
0.0001839689131,30.6774
0.0001839847915,30.6768
0.0001840166343,30.6756
0.000184118141,30.6712
0.0001844136761,30.6556
0.0001849756658,30.6133
0.0001856905296,30.5365
0.0001864459901,30.4277
0.0001877110525,30.1837
0.0001877507644,30.1748
0.0001877617889,30.1723
0.000187809041,30.1616
0.0001878169268,30.1598
0.000187891958,30.1426
0.0001879018089,30.1403
0.0001879265493,30.1346
0.0001879410876,30.1312
0.0001879425806,30.1308
0.0001879465589,30.1299
0.0001879625573,30.1262
0.0001883782547,30.0313
0.0001890534064,29.8852
0.0001902627916,29.6483
0.0001912849236,29.4723
0.0001930755601,29.2158
0.0001937867984,29.1318
0.0001938277186,29.1273
0.0001938786044,29.1217
0.0001939026603,29.1191
0.0001939446114,29.1146
0.0001939533164,29.1136
0.0001939589255,29.113
0.0001939612276,29.1128
0.0001939640185,29.1125
0.0001939826041,29.1105
0.0001939939012,29.1092
0.0001940700154,29.1008
0.0001941752115,29.0887
0.0001945366831,29.0432
0.000195012351,28.974
0.0001957786815,28.8405
0.0001967155469,28.6414
0.0001977075103,28.3889
0.0001977476585,28.3778
0.0001977555819,28.3756
0.000197807153,28.3612
0.0001978144872,28.3591
0.0001978853957,28.3392
0.0001978970537,28.3359
0.0001979096373,28.3323
0.0001979363256,28.3247
0.000197941227,28.3233
0.0001979412651,28.3233
0.0001979416361,28.3232
0.0001979449847,28.3222
0.0001979502627,28.3207
0.0001980281538,28.2986
0.0001984864181,28.1714
0.0001990558534,28.0206
0.0002004381682,27.6869
0.0002017887124,27.4042
0.000203807088,27.0586
0.0002038233009,27.0562
0.0002038720859,27.049
0.0002038947904,27.0456
0.0002039259441,27.0411
0.000203945955,27.0381
0.0002039541222,27.0369
0.0002039563054,27.0366
0.0002039585933,27.0363
0.000203967268,27.035
0.0002039901362,27.0317
0.0002040330353,27.0254
0.0002041359526,27.0099
0.0002041970995,27.0004
0.0002042078656,26.9988
0.0002046041868,26.9336
0.0002051791262,26.8273
0.0002055625561,26.7487
0.0002062863953,26.5841
0.0002077398592,26.1913
0.0002077529117,26.1874
0.0002077889837,26.1766
0.0002078131362,26.1693
0.0002078847058,26.1477
0.0002078998527,26.1431
0.0002079178472,26.1376
0.0002079344595,26.1326
0.0002079415347,26.1304
0.0002079445957,26.1295
0.0002079485972,26.1282
0.0002079852712,26.1171
0.0002084035342,25.9921
0.0002088869822,25.8535
0.000210021439,25.5519
0.0002112953382,25.2522
0.0002132734814,24.8653
0.0002137708797,24.7826
0.0002138242861,24.7741
0.000213847758,24.7704
0.000213897185,24.7625
0.0002139159987,24.7596
0.0002139485501,24.7545
0.0002139577077,24.7531
0.0002139598931,24.7527
0.0002139621818,24.7524
0.0002139674944,24.7515
0.0002139944699,24.7473
0.0002140119166,24.7446
0.0002141079456,24.7293
0.000214241095,24.7075
0.0002146281286,24.6402
0.0002152120539,24.5279
0.0002156473127,24.4359
0.0002163918506,24.2625
0.0002177078732,23.9081
0.0002177261139,23.9028
0.0002177543094,23.8945
0.00021779738,23.8819
0.0002178131807,23.8772
0.0002178771481,23.8582
0.0002178952934,23.8528
0.000217906552,23.8495
0.000217935238,23.8409
0.0002179411093,23.8391
0.0002179412545,23.8391
0.0002179429438,23.8386
0.0002179456689,23.8378
0.0002179544894,23.8351
0.0002181425191,23.7794
0.0002186578136,23.6315
0.0002195174567,23.401
0.0002200953722,23.2571
0.0002210206365,23.0448
0.000222750596,22.7061
0.0002238087553,22.5353
0.0002238250688,22.5328
0.0002238675285,22.5266
0.0002238993419,22.5219
0.000223940099,22.5159
0.0002239505269,22.5144
0.0002239574067,22.5134
0.0002239596408,22.5131
0.0002239620185,22.5127
0.0002239743802,22.511
0.0002239949793,22.508
0.000224035268,22.5021
0.0002241389984,22.4866
0.0002243072211,22.4607
0.0002248322197,22.3736
0.0002253505481,22.2782
0.0002258975914,22.1677
0.0002269415156,21.9297
0.0002276995812,21.7352
0.0002277481327,21.7221
0.0002277561792,21.72
0.0002278089944,21.7057
0.0002278182407,21.7032
0.0002278909714,21.6833
0.0002279005155,21.6807
0.0002279197799,21.6754
0.0002279403437,21.6697
0.0002279412714,21.6695
0.0002279415119,21.6694
0.0002279445337,21.6686
0.0002279473636,21.6678
0.0002279699496,21.6616
0.0002283484028,21.5596
0.0002289773672,21.3989
0.0002294417416,21.2872
0.0002301822021,21.1209
0.0002313302106,20.8916
0.0002337261393,20.5195
0.0002338211218,20.5077
0.0002338315987,20.5064
0.0002338950265,20.4986
0.0002339104176,20.4968
0.0002339480685,20.4922
0.0002339567561,20.4911
0.0002339605915,20.4907
0.0002339628779,20.4904
0.0002339674491,20.4899
0.0002339937834,20.4867
0.0002340056196,20.4853
0.0002340944194,20.4744
0.0002341967294,20.4615
0.0002345547326,20.4139
0.0002350758587,20.3372
0.0002359560111,20.1883
0.0002370605147,19.9683
0.0002376969734,19.8253
0.0002377459586,19.8138
0.0002377558039,19.8114
0.0002378068043,19.7994
0.0002378138483,19.7977
0.0002378856912,19.7806
0.0002378986486,19.7775
0.0002379134483,19.774
0.0002379360884,19.7685
0.0002379419459,19.7671
0.0002379450302,19.7664
0.0002379502441,19.7651
0.0002380272189,19.7467
0.0002383644096,19.668
0.0002387957612,19.5718
0.0002397731593,19.3722
0.0002408502665,19.1813
0.0002429582961,18.8919
0.0002437951346,18.8071
0.0002438283358,18.804
0.0002438834829,18.7991
0.0002439053633,18.7971
0.0002439463187,18.7935
0.0002439543617,18.7928
0.0002439591162,18.7924
0.0002439614131,18.7922
0.0002439643091,18.7919
0.0002439804158,18.7905
0.0002439993233,18.7889
0.0002440652347,18.783
0.0002441662045,18.7737
0.0002445069732,18.7402
0.0002449589417,18.6903
0.0002456424713,18.6034
0.0002464391359,18.485
0.0002477085723,18.2598
0.0002477489028,18.2519
0.0002477571667,18.2503
0.0002478091227,18.2401
0.0002478164241,18.2386
0.0002478929937,18.2234
0.0002479035024,18.2213
0.0002479324531,18.2155
0.000247940291,18.214
0.000247941577,18.2137
0.0002479449306,18.213
0.0002479502139,18.212
0.0002480384586,18.1944
0.0002483993161,18.1246
0.0002489890439,18.018
0.0002497245101,17.8976
0.000250408379,17.7982
0.0002515209513,17.6612
0.0002537203254,17.4781
0.0002538204536,17.4725
0.0002538312762,17.4719
0.0002538911561,17.4686
0.0002539114544,17.4676
0.0002539482408,17.4656
0.0002539568025,17.4652
0.0002539599777,17.465
0.000253962268,17.4649
0.000253965414,17.4647
0.0002539860877,17.4637
0.0002540025381,17.4628
0.0002540833273,17.4585
0.0002541863112,17.4527
0.0002545275063,17.4312
0.0002549797679,17.3977
0.00025569879,17.3324
0.0002565301481,17.239
0.0002577025603,17.0758
0.0002577468433,17.0689
0.0002577562328,17.0674
0.0002578085049,17.0592
0.0002578164981,17.058
0.0002578938517,17.0457
0.0002579048139,17.0439
0.000257933864,17.0393
0.0002579406541,17.0382
0.0002579410959,17.0381
0.0002579411573,17.0381
0.0002579418254,17.038
0.0002579453577,17.0374
0.0002579532094,17.0362
0.0002581311452,17.008
0.0002584987458,16.9525
0.0002589367347,16.8908
0.0002597463737,16.7895
0.0002604635834,16.7133
0.0002617152788,16.6099
0.000263807088,16.5184
0.0002638233008,16.5181
0.0002638720847,16.5172
0.0002638947917,16.5168
0.0002639259315,16.5162
0.000263945904,16.5159
0.0002639546674,16.5158
0.0002639568201,16.5157
0.0002639591104,16.5157
0.0002639701419,16.5155
0.00026399237,16.5151
0.000264026279,16.5145
0.0002641290309,16.5125
0.0002642621362,16.5095
0.0002646678174,16.4972
0.0002653212305,16.4677
0.0002658360663,16.4362
0.0002668246386,16.3556
0.0002677031469,16.2625
0.0002677463844,16.2574
0.0002677542402,16.2564
0.0002677991657,16.2511
0.0002678149045,16.2492
0.0002678921044,16.2398
